card_name,route_id,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_duration,카드번호,노선ID,승차일시
++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,버스,푸른마을,127.122975,37.369815,3102352,6,29,53,조계사,126.98316299999999,37.572843,1101061,7,20,31,0,28543,3038,++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,41110130.0,20171019062953.0
++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,버스,서울역버스환승센터,126.972753,37.555437,1102054,22,5,1,중앙공원.샛별마을우방아파트,127.12629799999999,37.372627,3102354,23,5,4,0,29263,3603,++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,41110130.0,20171019220501.0
++04wpmAaLpwQ7faUc+bL+uj/7gdv5a8KSI1TQJPVFk=,지하철,을지로3가역,126.990967,37.566277,1101061,9,53,41,왕십리역,127.03708799999998,37.561248,1104056,10,5,5,0,4100,684,++04wpmAaLpwQ7faUc+bL+uj/7gdv5a8KSI1TQJPVFk=,,20171019095341.0
++06Ld2wcero/8B1bN1YxNhybi9R4z/mMRjIkae3yog=,버스,한남동새마을금고,127.000468,37.537046999999994,1103074,16,21,13,전쟁기념관,126.97689,37.5347,1103073,16,30,56,0,2220,583,++06Ld2wcero/8B1bN1YxNhybi9R4z/mMRjIkae3yog=,11110009.0,20171019162113.0
++06Ld2wcero/8B1bN1YxNhybi9R4z/mMRjIkae3yog=,버스,삼각지역,126.97416299999999,37.536032,1103073,16,37,36,KT&G관악지점,126.9374,37.484495,1121078,17,8,36,1,8652,1860,++06Ld2wcero/8B1bN1YxNhybi9R4z/mMRjIkae3yog=,11110912.0,20171019163736.0
++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,버스,청량리역환승센타,127.045497,37.580402,1106083,7,47,59,서대문역사거리.적십자병원,126.967653,37.567107,1101058,8,22,22,0,7205,2063,++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,11110068.0,20171019074759.0
++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,버스,영천시장,126.963127,37.569522,1113052,8,25,24,응암역신사오거리,126.91511499999999,37.599082,1112074,8,45,17,1,6195,1193,++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,41110011.0,20171019082524.0
++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,버스,서부병원,126.92357700000001,37.600612,1112059,20,18,44,은평구청,126.930393,37.601197,1112059,20,21,43,0,616,179,++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,41110011.0,20171019201844.0
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,버스,우리현대마트,126.96751299999998,37.471145,1121062,8,55,26,오리사랑,126.966835,37.473797,1121062,8,56,56,0,315,90,++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,11110539.0,20171019085526.0
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,버스,인헌중고.서울미술고,126.966623,37.475654999999996,1121062,9,6,44,서초동예술의전당,127.01286200000001,37.481737,1122053,9,23,52,1,4527,1028,++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,41110040.0,20171019090644.0
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,버스,서초3동주민센터,127.011592,37.483207,1122053,18,35,26,예술인마을,126.97287800000001,37.476116999999995,1120063,18,52,31,0,4124,1025,++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,41110040.0,20171019183526.0
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,버스,낙성대역,126.96488000000001,37.476427,1121062,19,0,3,낙성대역,126.96488000000001,37.476427,1121062,19,0,11,1,0,8,++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,11110539.0,20171019190003.0
++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,버스,염창동관음삼성아파트,126.869372,37.552973,1116051,14,23,55,월촌중학교,126.881672,37.537913,1115071,14,33,5,0,2599,550,++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,11110285.0,20171019142355.0
++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,버스,목동4단지.목동종합운동장,126.875073,37.532255,1115071,14,36,12,목운초등학교.목운중학교,126.873777,37.526443,1115051,14,38,20,1,655,128,++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,11110905.0,20171019143612.0
